J8fdk7n2i,#端午节#又是一年端午时，“端”有开头、初始之意，在这个疫情还未褪去的夏天，我们不仅要向那些仍然奋战在一线的工作者敬祝安康，同时也要为即将面临高考的学子打气，愿他们笃定前行，迎接挑战，上下求索，守护传承，“易”气风发，金榜高“粽”！带话题#高考加油#转发本条微博，我们将于6月28日抽3名粉丝，送出【网易味央端午礼盒】哦！ http://t.cn/A6LgeUNH 原图 ,2020-06-25 10:30,67,315,100
J80b3cNOG,【中国船员因疫情海上漂流8个月：被公司侵犯利益 但不敢反抗】在远离中国大陆的海面上，还漂着一批未能回国的中国海员，他们被迫超期工作，却不敢对雇佣自己的航运公司提出反抗。一名罗姓船员表示，中国船员不同于外国船员，如果有人敢反抗船运公司，下场就是这个人永远被公司拉入黑名单，以后基本上很难混。“一旦船上曝出什么负面新闻，公司第一时间不是搞清问题，而是调查谁捅出去的，动用一切资源和手段把这个人找出来，导致大家胆子都很小。” http://t.cn/A6LY0oFi ,2020-06-23 20:14,141,31,37
J7MpNxy7Q,【#河南某校收生活费1500只退500# 强迫家长签字：不签字孩子全部领走！】6月20日，河南省开封市杞县苏木乡社区中心小校就疫情期间需要退回的费用问题与家长引起纠纷。据学生家长称：学校收费时收取了1500元生活费，但家长退费的时候，学校硬说是1000元，折后就退给家长500元，家长们不接受。据该校学生家长反应：学校不仅抹去了学生所交的生活费的三分之一，而且态度十分恶劣，学生家长要求按标准退费。视频显示，校方两位负责人要求家长签字承认缴费1000元的事实，否则就将各自孩子领走。目前，当地部门还未回复。 （来源@易视频） http://t.cn/A6LCtihV ,2020-06-22 09:12,151,28,59
J7mUmxfCj,【看懂了美国人的反智文化，你才能真正懂这个魔幻的国家】18%的美国人认为太阳绕着地球转，近百万美国人认为地球是平的，在地图上找不到自己国家的美国人更是不计其数；即使面对来势汹汹的新冠疫情，他们也毫不在乎地走上街头，抗疫政府的隔离政策，反对研发新冠疫苗…这两百多年来美国人经历了什么，才会变得如此“反智”。  http://t.cn/A6L6si4Y ,2020-06-19 16:15,234,47,88
J7fhmba8T,【#武汉抗疫护士昏迷百天未醒#：申请工伤被拒，复议结果仍未出】6月17日，湖北武汉。网传 “武汉抗疫昏迷的护士沈蓓因工伤认定问题行政复议获得回复，社保局认为其不符合工伤认定而维持原来决定” 情况不实。昏迷护士女儿称，昨日网传文件为社保局向复议部门提交的维持不认定工伤决定的资料，而非复议结果（社保局认为其情形不符合突发疾病死亡或者在48小时之内经抢救无效死亡，故不予认定工伤）。昏迷护士所在医院也提交资料，认为社保局可按“在抢险救灾等维护国家利益、公共利益活动中受到伤害”此条例认定昏迷护士为工伤。目前，沈蓓护士已昏迷103天，仍在等待复议结果。#网传武汉昏迷护士复议不认定工伤#结果不实（来源@易视频）前情回顾：http://t.cn/A6LxrC96 http://t.cn/A6LxQcY6 ,2020-06-18 20:50,156,79,27
J7e3foYcf,【江苏#高校举办雨夜毕业歌会#，雨中撑伞唱歌挥泪告别】2020年6月17日，江苏省连云港市，@江苏海洋大学 因为疫情原因没有举办大型毕业典礼，毕业生在本月20号就要陆续离校。为了弥补遗憾，200多名毕业生当晚冒着雨撑着伞在宿舍楼下唱“离歌”，众多学生都感动哭了。大四毕业生韦同学，也参加了活动，他说现场雨还是很大的，唱到最后有的同学都不打伞了，泪水雨水融合到一块，这是让他终生难忘的毕业季。（来源@易视频）  http://t.cn/A6LxZbqL ,2020-06-18 17:43,15,4,4
J73yfhvSJ,【新发地附近超市湖北老板为北京加油】“我是湖北人，我为北京加油…今天，该是我们报恩的时刻了！”转！加油！战疫情！[加油] 新发地附近超市湖北老板为北京加油  原图 ,2020-06-17 14:59,67,4,9
J72QPlxtR,【三文鱼被证明“清白” 但海鲜商户们已经亏惨了】据国家卫健委专家组通报，目前没有证据表明三文鱼是新冠病毒的宿主或者中间宿主。即便如此，涉及到的海鲜水产商户们却已损失惨重。北京大量海鲜水产市场陆续被封闭，不少日料门店和大型卖场直接下架三文鱼产品。商贩表示，海鲜类产品完全无人光顾，现在是干一天赔一天。记者走访永旺、永辉超市等水产区域，工作人员不断强调虾蟹类均为国产货，但都无人问津。http://t.cn/A6LVlKMg [组图共2张] 原图 ,2020-06-17 13:12,106,45,36
J5YfVrDRX,【残疾人在外宾宾馆附近拉二胡影响形象？城管局回应】5月17日，重庆一名残疾人在路边拉二胡卖艺，遭到城管驱逐，并称前方不远处有外宾宾馆，影响中国人形象。城管局执法监察科回应：担心老人此举不利疫情防控；存在交通安全隐患；城管言论不妥，执法队员素质和文化水平参差不齐，表述让人产生歧义与误解。http://t.cn/A62kk8HM [组图共3张] 原图 ,2020-06-10 11:40,299,15,68
J53Xayv0H,【官方最终尸检报告:遇害黑人死于心肺骤停 已患新冠】美国明尼苏达州亨内平县医学检查员6月3日发布了非裔美国人弗洛伊德的最终尸检报告，显示弗洛伊德的死亡是由于心肺骤停所致。报告显示，弗洛伊德的头部、面部、嘴巴、肩膀、手臂和腿部有很多瘀伤，但是没有发现这些伤害导致他死亡的证据。报告还显示，弗洛伊德最近已检测出感染新冠病毒，尽管没有迹象表明这是造成他死亡的一个因素。http://t.cn/A62YqmEN 原图 ,2020-06-04 12:20,80,10,37
