微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IAs3227xu,【#G20将启动价值5万亿美元经济提振计划#】沙特国家电视台消息显示，二十国集团领导人应对新冠肺炎特别峰会当地时间26日下午正式闭幕。峰会公报显示，二十国集团将致力于与世界卫生组织、国际货币基金组织、世界银行、联合国和其他国际组织一道，为战胜疫情做出一切努力，重点保护民众生命和健康、保障就业与收入、恢复信心、保持金融稳定并促进经济恢复，最大限度地降低疫情对贸易和全球供应链的影响程度，并向所有需要援助的国家提供帮助，同时协调公共卫生和财政政策。二十国集团将启动总价值5万亿美元的经济计划，以应对疫情对全球社会、经济和金融带来的负面影响，并支持各国中央银行采取措施促进金融稳定和增强全球市场的流动性。（央视） 原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gd7rq8wx5bj20ob0obk0y.jpg,无,无,2020-03-26 23:55,微博 weibo.com,4160,490,572
IArZQDMiZ,【扩散！一图看懂#最新外国人入境政策#】外交部发布声明，28日起#暂停持有效中国签证的外国人入境#。哪些情况被暂停入境？哪些免签政策将被暂停？哪些情况可以入境？一图看懂外国人持有效签证暂停入境政策↓↓  原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1gd7rhwxlowj20u01hctnm.jpg,无,无,2020-03-26 23:47,微博 weibo.com,61795,4216,3826
IArNhptsb,#暂停持有效中国签证的外国人入境#【外交部：28日起#暂停持有效中国签证居留许可的外国人入境#】中方决定自2020年3月28日0时起，暂时停止外国人持目前有效来华签证和居留许可入境。暂停外国人持APEC商务旅行卡入境。暂停口岸签证、24/72/144小时过境免签、海南入境免签、上海邮轮免签、港澳地区外国人组团入境广东144小时免签、东盟旅游团入境广西免签等政策。持外交、公务、礼遇、C字签证入境不受影响。外国人如来华从事必要的经贸、科技等活动，以及出于紧急人道主义需要，可向中国驻外使领馆申办签证。外国人持公告后签发的签证入境不受影响。这是中方为应对当前疫情，参考多国做法，不得已采取的临时性措施。中方愿与各方保持密切沟通，做好当前形势下中外人员往来工作。中方将根据疫情形势调整上述措施并另行公告。 原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1gd7qlyjnspj20se0nmgr3.jpg,无,无,2020-03-26 23:16,微博 weibo.com,984292,34194,40789
IArIZdDMl,【可爱！#民警哥哥机场执勤遇援鄂妹妹凯旋#】25日，宁夏公安厅机场公安局民警吴毅在执勤时和援鄂归来的妹妹吴艳玲相遇了，妹妹一下飞机就蹦蹦跳跳地跑到哥哥面前激动地抱住哥哥。之后，哥哥向妹妹敬礼致敬，妹妹向哥哥连鞠两躬。网友：兄妹俩都是彼此的骄傲！未来网的微博视频  ,,无,无,无,2020-03-26 23:06,微博 weibo.com,53875,3301,2128
IArxvo0bK,【不负春光！#航拍大美中国的春天#】江西抚州，贵州福泉，河南郑州，湖南长沙，广西南宁，内蒙古通辽…#航拍带你云春游#，换个角度看春天！中国气象局的微博视频  ,,无,无,无,2020-03-26 22:37,微博 weibo.com,12708,1460,1626
IArfi0I1f,【#全球华人接力记录疫情#】命运与共，人类加油！（人民号：万能编辑部）  人民日报的微博视频  ,,无,无,无,2020-03-26 21:52,微博视频,4668,1106,555
IAr6llFFy,【明天起，#杭州将发放16.8亿消费券#】3月26日，杭州宣布将发放预计总额达到16.8亿元的消费券，鼓励消费者，扶持杭州商家，拉动线下消费，3月27日杭州市民可正式领取消费券。该活动将覆盖杭州餐饮、购物等领域的600万线下商户。这是杭州利用数字化提振经济的重大举措。#杭州消费券#http://t.cn/A6Z2vcuD [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/a716fd45ly1gd7njmom5ej20u014bthr.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gd7njml1mcj20qe0uktcf.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gd7njmhshtj20hv0zjgni.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gd7njmiz35j20h10zkdhv.jpg",无,无,2020-03-26 21:30,微博 weibo.com,25907,2403,3762
IAr4cpmch,【#广东明确境外入粤政策包含港澳台#：#港澳台入粤人员全自费集中隔离#】记者从省疫情防控指挥部办公室获悉，根据当前国际疫情扩散形势和我国港澳台地区疫情的变化情况，经报请国家有关部门同意，广东进一步严格境外疫情输入防控。自3月27日6:00时起，对所有经广东口岸入境人员（含港澳台地区，含中转旅客）实行核酸检测全覆盖，并集中隔离医学观察14天，集中隔离食宿费用自理。对保障港澳正常生产生活的特定人员和承担粤港澳急需物资运输的跨境司机、船员等，暂不实施集中隔离医学观察，但全部实行核酸检测，并对其严格加强全流程健康管理，确保闭环运作。广东将密切关注境外疫情发展，进一步加强与港澳特区政府的沟通合作，继续强化粤港澳疫情联防联控，实施全流程健康监测管理，全方位织密织牢境外疫情输入防护网。（人民日报记者贺林平） 原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1gd7neh1m8fj20ob0obk0y.jpg,无,无,2020-03-26 21:25,微博 weibo.com,132847,4883,8138
IAqHxjzUj,【辛苦了！#隔离点医护人员的日常#，有时凌晨四点还在倒垃圾】这两天，在西安市雁塔区新冠肺炎观察隔离点，来自长安大学校医院3名年轻的护士王艳妮、杨兰、李美娟一直在忙碌。设立隔离点后，她们主动申请到抗疫一线，负责接收隔离人员、安排入住，每天三次测体温、送餐，对每个楼层的垃圾进行打包、消杀、称重、运送.....每天工作十几个小时，轮班倒，很多时候要加班到凌晨三四点。http://t.cn/A6ZwEJC3 ,,无,无,无,2020-03-26 20:29,微博 weibo.com,33575,2557,3104
IAqxLyUlz,【#新冠疫苗首批志愿者的接种手记#】29岁的莫诗琦老家孝感，武汉长大，是一名电信客服，平时喜欢健身和跑步。受到已接受疫苗试验的跑步群朋友的鼓舞，莫诗琦决定成为新冠疫苗首批志愿者。3月25日，莫诗琦在体检中心接种新冠疫苗。戳视频↓↓看她的志愿手记。（王坎、胡润新）  人民日报的微博视频  ,,无,无,无,2020-03-26 20:05,微博视频,26109,1703,1484
