微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwEgo79Ri,【#你好，明天#】一段“疫情期间开学”模拟计算机程序，清晰揭示了为何暂时不能开学。特效药还未诞生，疫情远没真正过去，将物理隔离做深做实，是不得已为之，更是避免疫情卷土重来的良策。严防死守之下，多地已连续一周无新增确诊病例，面对来之不易的成绩，我们不能功亏一篑。坚持住，就是胜利。http://t.cn/A67iCUsB ,,无,无,无,2020-03-01 23:40,微博 weibo.com,70879,6369,5856
IwE4E1J9q,【夜读：遇事最有水平的处理方式】事与愿违，也许是另有安排。就像有些丢失，可能是为珍爱之物的到来腾出位置；有些匍匐，可能是高高跃起前的热身。你要做的就是，相信自己，相信时间，相信经历的那些风雨最终都会照亮人生的路。心若向阳，必生温暖。你对生活微笑，生活便会对你微笑。 http://t.cn/A67iQumg ,,无,无,无,2020-03-01 23:11,微博 weibo.com,44407,4544,3802
IwDXJfjRr,【#2月战疫数据线#来了！3月继续努力】不获全胜，决不轻言成功！#向上吧小蓝线#  原图 ,,http://wx2.sinaimg.cn/large/a716fd45gy1gcetgnsuqng20tk1hs45u.gif,无,无,2020-03-01 22:54,微博 weibo.com,25021,1650,2678
IwDPmBbz4,【太有才了！#雷神山医院里的钟南山漫画#】黄鹤楼、户部巷、热干面、还有钟南山对武汉人民说的话…在雷神山医院的A区走廊墙壁上，画满了关于武汉的记忆。这些涂鸦大多由全国各地援助雷神山医院的医护人员手绘而成。网友：是多才多艺的抗疫战士啊！#雷神山医院的涂鸦# 雷神山的涂鸦 太有才华了  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/a716fd45gy1gcestw4he4j20m80go3zj.jpg,http://ww1.sinaimg.cn/large/a716fd45gy1gcesu0qqg2j20dw0ijta4.jpg,http://ww1.sinaimg.cn/large/a716fd45gy1gcesu5gpf8j20dw0ijjsf.jpg,http://ww2.sinaimg.cn/large/a716fd45gy1gcesu9ez8uj20m80go0ty.jpg,http://ww1.sinaimg.cn/large/a716fd45gy1gcesuhifscj213u0tu10i.jpg,http://ww2.sinaimg.cn/large/a716fd45gy1gcesujync8j20mi0u0acs.jpg,http://ww2.sinaimg.cn/large/a716fd45gy1gcesvd98f3j20m80go75l.jpg,http://ww3.sinaimg.cn/large/a716fd45gy1gcesus2wjsj20dw0ijmy8.jpg,http://ww4.sinaimg.cn/large/a716fd45gy1gcesuuslhkj20dw0ij75m.jpg",无,无,2020-03-01 22:33,微博 weibo.com,46563,3387,2506
IwDGvDtOL,【#为什么现在还不能开学#？这段视频告诉你！】计算机模拟疫情期间开学可能的后果↓↓别松劲，安全第一！（B站UP主：北京信息科技大学学生 九磅十伍便士）  人民日报的微博视频  ,,无,无,无,2020-03-01 22:11,微博视频,56156,7914,4408
IwDAp4PUE,【#英国新增12名新冠肺炎感染者#，为单日最高增幅】据人民日报记者强薇，3月1日，英国新增12名新冠肺炎感染者，这是自发现病例以来#英国单日确诊人数最多的一天#。目前#英国累计35人确诊新冠肺炎#。  原图 ,,http://wx4.sinaimg.cn/large/a716fd45gy1gcersyvrnzj20ob0obk0y.jpg,无,无,2020-03-01 21:56,微博 weibo.com,27477,747,2290
IwDvP6J6r,【#深圳新增由英国途经香港输入病例#】据人民日报记者贺林平，3月1日凌晨，深圳市卫生健康委报告1例境外输入新冠肺炎确诊病例。相关情况如下：患者，男，35岁，在英国布里斯托工作。2月27日乘坐CX250航班，由伦敦飞往香港。2月28日13:27抵达香港机场，15:30在香港机场海天码头乘坐渡轮（船次3A109）到蛇口码头，16:32在码头入境时，显示该患者体温正常，16:45从蛇口码头乘出租车回福田区家中。患者全程佩戴口罩。2月29日上午7时，患者出现咳嗽、发热症状。10时由家属驾车送往中山大学附属第八医院发热门诊就诊。21时咽拭子初筛新冠病毒核酸阳性。23时患者由中大八医转至深圳市第三人民医院隔离治疗。3月1日0:40，深圳市疾控中心复核结果为新冠病毒核酸阳性。目前患者病情稳定。深圳市福田区疾控中心接到中大八院报告后，立即开展流行病学调查、密切接触者采样、终末消杀等工作，目前共确定密切接触者93人。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。广东省卫生健康委已于3月1日凌晨将相关情况通报香港卫生部门。 原图 ,,http://wx1.sinaimg.cn/large/a716fd45gy1gcergxzaa7j20ob0obk0y.jpg,无,无,2020-03-01 21:45,微博 weibo.com,297631,4242,12491
IwDhvaooS,【心疼！#火神山医院硬核护士长哽咽#】一段唠叨，让火神山医院的“硬核”护士长陈静在网上走红。工作中像个大管家，她事无巨细，都要照顾到；但在家她却会“偷懒”，家务事还是丈夫管的多，说到这里，她突然哽咽了。央视军事的微博视频  ,,无,无,无,2020-03-01 21:10,微博 weibo.com,12580,698,1301
IwCYaEybl,【@ 全体大中小学生：#新学期何时开学最新消息#来了】①原则上继续推迟开学；②制定具体返校方案时，可安排高三、初三等毕业班学生先返校；③原则上疫情得到有效控制前大学生不返校、高校不开学；④医学专业和医学类院校学生、毕业年级学生可先返校；⑤在线教学不能“一刀切”…详戳↓↓转发周知！  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/a716fd45ly1gcep31veusj20il0osdlk.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gcep31z0chj20il0mdjyv.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gcep31w2epj20il0mdn37.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gcep31ve92j20il0md7bl.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1gcep329ufwj20il0mdwjt.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gcep31whsxj20il0md45d.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gcep31yr7kj20il0md0zk.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gcep31zeehj20il0mdtd6.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gcep3212thj20il0md45a.jpg",无,无,2020-03-01 20:22,微博 weibo.com,142324,3886,9928
IwCJfs6Ce,【#日本累计确诊新冠肺炎955例#】截至日本当地时间3月1日19时30分，日本累计确诊新冠肺炎病例955例，因新冠肺炎死亡累计12人。据日本广播协会电视台报道，3月1日，北海道、神奈川县、东京都、千叶县等地新确诊8名新冠肺炎患者，在日本国内的日本人和中国游客等累计确诊236例；“钻石公主”号邮轮累计确诊705例；从武汉乘坐包机返回者累计确诊14例。北海道政府1日称，2月29日晚上7时左右，居住在北海道的一名70多岁的新冠肺炎患者死亡。（刘军国） 原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1gceo0w9nm7j20ob0obk0y.jpg,无,无,2020-03-01 19:45,微博 weibo.com,18053,441,1963
IwCGLxDY4,【交通运输部：#全面暂停离汉离鄂网约车业务#、顺风车业】交通运输部今日发布《关于严格落实网约车、顺风车疫情防控管理有关要求的通知》，通知要求：全面暂停离汉、离鄂的网约车、顺风车业务。各平台公司要贯彻落实继续实行严格的离汉离鄂通道管控措施，严格按照湖北省新型冠状病毒感染肺炎疫情防控指挥部相关规定，全面暂停离汉、离鄂的网约车、顺风车业务，坚决防止疫情通过网约车、顺风车从武汉、从湖北输出。#全面暂停进出京跨城网约车业务#、顺风车业务。各平台公司要严格按照首都严格进京管理联防联控协调机制相关规定，全面暂停进出京的跨城网约车、顺风车业务，坚决防止疫情通过网约车、顺风车输入北京，全力服务首都疫情防控大局。http://t.cn/A67ivGnh 原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1gcenu7nvtbj20ob0obk0y.jpg,无,无,2020-03-01 19:39,微博 weibo.com,224397,1728,11320
IwCF9kASX,【#武汉三类地点全部实现床等人#】目前，武汉定点医院、方舱医院、隔离点三类地点床位全部实现床等人，为提高治愈率提供了坚实保障。下一步，#武汉逐步把方舱医院患者向定点医院集中#，轻症向一般定点医院集中，重症向重症定点医院集中，救治关口前移，有效控制轻症转重症，挽救患者生命。  http://t.cn/A67JsxQc ,,无,无,无,2020-03-01 19:35,微博视频,12912,629,1473
IwCyZf7Df,【#伊朗一天新增新冠肺炎385例#，#伊朗累计新冠肺炎978例#】据外媒报道，伊朗卫生部发言人贾汉普尔3月1日在国家电视台宣布，过去24小时伊朗新增新冠肺炎感染者385例，累计978例，累计死亡人数达54例。（周輖）  原图 ,,http://wx1.sinaimg.cn/large/a716fd45ly1gcenakftn3j20ob0obk0y.jpg,无,无,2020-03-01 19:20,微博 weibo.com,19024,572,2195
IwCfNE0El,【#陕西大厨为武汉医疗队做羊肉泡馍#】几天前，三位陕菜国家级烹饪大师前往武汉。29日晚，一份份热气腾腾、配有糖蒜、辣椒酱的羊肉泡馍，送到陕西省第一批援湖北医疗队队员的房间。未来，大厨每天将为队员们烹制油泼面、肉夹馍、凉皮等地道的陕西家乡美味，用贴心的后勤保障支援医疗队抗疫工作。加油！http://t.cn/A67JlgGX ,,无,无,无,2020-03-01 18:33,微博 weibo.com,58744,2458,4283
IwCcblR5E,【泪目！医疗队队员的孩子说，#原来妈妈才是英雄#】“我以为英雄就是漫威，现在我发现，真正的英雄是你们啊！” 孩子的一段话，让军队支援湖北医疗队队员张艳琳瞬间泪奔，“妈妈一定加油！想你们了，等我回来好好抱抱你们。”网友：你的妈妈就是英雄，愿你们早日团聚！央视军事的微博视频  ,,无,无,无,2020-03-01 18:24,微博 weibo.com,22075,1109,1236
IwC3szH87,【#德国新增51例新冠肺炎#，#德国累计确诊117例#】据人民日报记者花放，根据德国疾病防控机构罗伯特·科赫研究所最新公布的数据显示，截止当地时间3月1日上午10时，德国新增51例，累计确诊117例新冠病毒肺炎感染病例。  原图 ,,http://wx2.sinaimg.cn/large/a716fd45gy1gcel1rd68fj20ob0obk0y.jpg,无,无,2020-03-01 18:02,微博 weibo.com,17845,404,1891
IwC185AlC,【#大叔溜出重症病房打太极拳被劝回#】3月1日，华中科技大学同济医院光谷院区重症病房内，一位大叔“溜出”病房打起了太极拳。正起兴时，被医护人员“抓包”，大叔立马停住，拽了拽衣服，乖乖回了病房。网友：好心态可以有，等康复了再展拳脚！  人民日报的微博视频  ,,无,无,无,2020-03-01 17:57,微博视频,53684,993,2466
IwBPFpyrf,【转发，#送别60分贝暖医江学庆#】武汉市中心医院江学庆医生，抗疫殉职，享年55岁。据了解，江学庆从医30余年，他注重每一个细节，讲病情总是轻声细语，被患者亲切地称为“60分贝”暖医。没有生而英勇，只是选择无畏。一路走好，向你致敬！  原图 ,,http://wx4.sinaimg.cn/large/a716fd45gy1gcek21f30kj20rs18g7ht.jpg,无,无,2020-03-01 17:28,微博 weibo.com,27346,2617,4094
IwBEojG5b,【#人民直播#：#疫情之下的爱情故事#】因疫情从“准新娘”变身“抗疫战士”的襄阳护士、共同奋战在抗疫一线的“逆行”伉俪……坚贞的爱情让这场战“疫”有了更多的力量。跟随黄渤、袁姗姗等电影人，一同聆听他们的动人故事↓↓ 人民日报的微博视频 .  ,,无,无,无,2020-03-01 17:01,微博原生直播,19553,400,1748
IwBz9eQLB,【#武汉首家方舱医院休舱#】3月1日，武汉市硚口武体方舱医院34名康复的患者出院，这是最后一批出院的患者，他们将转运到隔离点进行14天隔离后再回家。其他76名患者将进行转诊处理，转诊完毕后，武体方舱医院将进行“休舱”处理，不再接收患者。网友：祝患者早日康复，祝方舱医院早日“关门大吉”。http://t.cn/A67JI2nj 原图 ,,http://wx1.sinaimg.cn/large/a716fd45gy1gcej4lp5loj20ri0kf1kx.jpg,无,无,2020-03-01 16:48,微博 weibo.com,204274,7851,10150
IwBtxt6Pa,【云南#持刀捅刺疫情卡点工作人员嫌犯获死刑#】据@云南发布 通报：2020年3月1日，云南省红河州中级人民法院依法公开开庭审理被告人马建国故意杀人一案并当庭宣判，以故意杀人罪判处马建国死刑，剥夺政治权利终身。经审理查明，被告人马建国，男，1996年4月生，系红河州红河县阿扎河乡洛孟村委会洛玛村村民，小学文化。2020年2月5日，红河县石头寨乡根据上级的统一部署和安排，在该乡么索村委会通往阿扎河乡洛孟村委会之间名为“咪卡”的地方设置新冠肺炎疫情防控卡点实施道路管控和限行。2月6日18时20分许，马建国驾驶车牌号为云GPN612的小型面包车载人行至该卡点时，同行村民马克龙（另案处理）下车搬除路障，并不服从卡点工作人员的管理。在此过程中，被告人马建国因对卡点工作人员张贵周持手机拍摄取证的行为不满，遂用随身携带的1把折叠刀朝张贵周胸腹部连续捅刺，又向前来劝阻的卡点工作队员李国民腹部进行捅刺，造成张贵周、李国民二人死亡。张贵周系红河县财政局下派的扶贫干部，李国民系红河县石头寨乡干部。法院经审理认为，被告人马建国在云南省重大突发公共卫生事件一级响应期间，无视国家法律，无视疫情防控秩序故意非法剥夺他人生命，造成两人死亡的严重后果，其行为已构成故意杀人罪，应依法追究其刑事责任。被告人马建国曾因犯故意伤害罪被判处有期徒刑，在刑罚执行完毕后五年内再犯应当判处有期徒刑以上刑罚之罪，系累犯，依法应当从重处罚。被告人马建国虽在案发后自动投案并如实供述犯罪事实，具有自首情节，但其在疫情期间采用极其残忍的手段杀害两名疫情防控工作人员，主观恶性极深、犯罪情节极其恶劣、犯罪后果极其严重，依法不予从轻处罚，遂作出上述判决。 原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1gceihlgszzj20ob0obk0y.jpg,无,无,2020-03-01 16:34,微博 weibo.com,17993,593,2305
IwBpy8wpj,【#北京公开新增2例境外输入病例情况#：均为宁夏确诊病例在伊朗期间密切接触者】据人民日报记者魏薇，29日下午，在北京市新冠肺炎疫情防控工作新闻发布会上，北京市疾病预防控制中心副主任庞星火介绍了两例境外输入新冠肺炎病例的相关情况，2月29日，北京市报告2例自伊朗入境的新冠肺炎确诊病例，均为2月26日宁夏确诊病例丁某某在伊朗期间的密切接触者。现将有关流行病学调查情况介绍如下：马某某，男，27岁，户籍甘肃。2月18日在伊朗参加一个同学聚餐，确诊病例丁某某也参加了该聚餐。2月25日在伊朗出现症状。2月26日从伊朗出发，经莫斯科转机，2月27日9:50抵京。乘机场大巴抵达北京西站南广场，随即相关人员抵达现场，采取管控措施后转至集中医学观察点隔离观察。2月28日，采集咽拭子标本，检测结果为新型冠肺炎核酸阳性，当日23：00转至定点医院隔离治疗。2月29日确诊，目前病情稳定。海某某，男，30岁，户籍甘肃。2月18日在伊朗与马某某参加同学聚餐，确诊病例丁某某也参加了该聚餐。2月27日在伊朗出现症状。2月28日从伊朗出发，经莫斯科转机，2月29日8:56抵京。随即被机场检疫部门用120救护车直接送至定点医院就诊。2月29日确诊，目前在定点医院隔离治疗，病情稳定。截至目前，2名确诊病例的所有密切接触者均已集中隔离医学观察。北京市疾控中心提示，鉴于境外部分国家疫情正处于上升期，无论身处国内或境外，都要关注卫生部门的健康提醒，不聚会，不聚餐，勤洗手，戴口罩，认真做好个人防护，减少感染机会。如接触了新冠肺炎病例，应向当地卫生部门报告，并就地进行健康观察和监测，不能乘坐公共交通工具旅行，避免对其他人员带来风险。 原图 ,,http://wx3.sinaimg.cn/large/a716fd45gy1gcei7fbjm7j20j60j6mz3.jpg,无,无,2020-03-01 16:24,微博 weibo.com,30648,722,2662
IwBnD3CC4,【转发周知：#孩子在家该如何锻炼#】国家体育总局体育科学研究所研究员徐建方表示，儿童青少年运动量要适度，以中低强度为主、身体微微出汗为宜。运动后要注意保暖和休息，建议上午下午和晚上各进行15-20分钟的居家健身，防止返校后肥胖和近视的急剧上升。 人民日报的微博视频  ,,无,无,无,2020-03-01 16:19,微博云剪,8371,526,960
IwBigCrnz,【#韩国一天新增586例新冠肺炎病例#，#韩国新冠肺炎达3736例#】据人民日报记者马菲，韩国中央防疫对策本部1日通报，截至当天下午4时，韩国较当天上午9时新增新冠肺炎确诊病例210例，累计确诊病例达3736例，共出现18例死亡病例。与前一天下午4时相比，一天内新增确诊病例586例。  原图 ,,http://wx3.sinaimg.cn/large/a716fd45gy1gcehosffyij20j60j6767.jpg,无,无,2020-03-01 16:06,微博 weibo.com,19857,425,2234
IwBfW9hTz,【人民直播：#湖北疫情防控工作发布会#】目前，江汉方舱医院医疗救治工作进展如何？3月1日下午四点，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第36场新闻发布会，介绍情况并回答记者提问。@人民日报 正在直播，关注！ 人民日报的微博视频 .  ,,无,无,无,2020-03-01 16:00,微博原生直播,9083,178,1596
IwBf3bhzn,【#韩国入境人员七成为中国内地居民#，目前#没有发现大量韩国人涌入我国情况#】3月1日，国家移民管理局边防检查管理司司长刘海涛表示，从2月23日到现在，分析掌握的韩国公民来华入境日均1300人。航班满座是由于疫情发生后，航班数量压缩导致机票紧张。从韩国入境人员七成为中国内地居民。到目前为止，没有发现大量韩国人涌入我国情况。 http://t.cn/A67JLUIY ,,无,无,无,2020-03-01 15:58,微博云剪,215054,1212,10399
IwBaklpYD,【#中韩中日往来航班持续减少#】近期，韩国、日本疫情发展迅速，中韩本周往来航班已降至320班，下周将进一步减至276班；中日往来航班本周已降至380班，下周将进一步减至263班。具体信息可至民航局官网查询。 人民日报的微博视频  ,,无,无,无,2020-03-01 15:46,微博云剪,33211,337,1827
IwB6etFTL,【#国际航班抵达前开展大数据分析#】3月1日，国家移民管理局边防检查管理司司长刘海涛表示，在国际航班抵达前开展大数据分析，#预排查疫情重点国家和地区有关人员#，将有关情况通过联控联防机制推送到检疫部门，为及时有效对涉疫人员进行检测赢得时间。在国际航班入境后，边检人员严格检查，发现在疫情突出地区有过旅行史、居留史的人员，会迅速通报给海关检疫部门进行疫情检查，移民管理部门同时会将相关信息及时通报人员入境目的地属地相关部门，为疫情排查管控提供信息支持。 http://t.cn/A67J7Et4 ,,无,无,无,2020-03-01 15:36,微博云剪,11294,243,1135
IwB3o74Uh,【#海关总署四点措施保障入境安全#】海关总署卫生检疫司司长林伟表示，要坚决遏制疫情通过口岸传播扩散，主要采取了：①密切监测疫情，及时开展研判；②全面启动健康申报制度，开发小程序用手机填报信息；③严格开展出境检疫，三查三排一转运；④强化联防联控机制，进一步共享信息。 http://t.cn/A67Jh4ZR ,,无,无,无,2020-03-01 15:29,微博云剪,8369,207,739
IwARez21i,【#人民直播#：#国务院联防联控机制发布会#】国务院联防联控机制于3月1日15时召开新闻发布会，介绍依法有效防控海外疫情输入有关情况，并答记者问。@人民日报 现场直播↓一起关注！ 人民日报的微博视频 .  ,,无,无,无,2020-03-01 14:59,微博原生直播,31087,466,2459
IwAKQAVtd,【男子#隔离期卖口罩诈骗隔离结束即被捕#】2月26日，在家隔离的江苏淮安男子戴某，刚得知可以解除隔离便被民警带走。2月以来，多人报警称买口罩被骗。警方锁定戴某，发现他隔离期间从家向楼下吊送包裹寄快递，包裹内实际是空的或作业本，近80人被骗45万元。戴某解除隔离后，警方对其实施抓捕。http://t.cn/A67xqORb ,,无,无,无,2020-03-01 14:44,微博 weibo.com,8775,281,1142
IwAy2FfFE,【#9组数据回顾2月战疫#】①湖北以外30个省区市和新疆生产建设兵团新增确诊降至个位；②2月29日，#28省区市新增病例为0#；③31省份和新疆生产建设兵团连续18天治愈出院超千人；④2月28日，累计治愈首超现有确诊病例数；⑤截至2月29日，全国派出4.2万名医务人员驰援湖北…更多↓3月继续加油！  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/a716fd45ly1gceed2owt1j20j60uxacq.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gceed2pjprj20j60uxjtj.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gceed2onhwj20j60uxtd7.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gceed2o1uwj20j60uxmzs.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gceed2oyg5j20j60uxdjl.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gceed2ooa0j20j60uxwgp.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1gceed2sjbfj20j60uxgos.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1gceed2sh1qj20j60ux75w.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1gceed2str8j20j60uxadr.jpg",无,无,2020-03-01 14:12,微博 weibo.com,34277,2050,2938
IwAl92KW2,【#国兴1号货船日本海域沉没#，#国兴1号货船7名中国籍船员失踪#】据中国驻札幌总领事馆消息，伯利兹籍货船“国兴1”号2月29日晚在日本海域沉没，13人失踪，其中7人为中国籍船员。　　2月29日22时17分，“国兴1”号向日方通报，其在日本青森县六所村的泊渔港以东约12公里海域与日本籍渔船“第八富丸”号发生碰撞，船体进水。“国兴1”号于22时35分沉没，14名船员1人获救，13人失踪，其中7人为中国籍船员。　　总领馆第一时间启动应急响应机制，与日方相关部门建立联系、获取信息，要求日海上保安厅等相关单位全力展开搜救。　　截至3月1日10时45分，日方已派出6架飞机、6艘巡视船、数十名救援人员执行搜救任务。目前在事发海域发现一些漂浮物，但无法确定是否与“国兴1”号有关。（新华社） 原图 ,,http://wx4.sinaimg.cn/large/a716fd45ly1gcedh5xebzj20ob0obk0y.jpg,无,无,2020-03-01 13:40,微博 weibo.com,16177,565,1996
