微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J07lafwxi,【#你好，明天#】“中国：我们发现一种新病毒，这种病毒很危险。美国：流感而已。”一段#中美疫情对比视频引海外热议#。先是自以为是的傲慢，后有深入骨髓的偏见，轻视疫情必被疫情报复；明明抗疫不力，却拼命甩锅，不知省思必会付出代价。“闭眼难见三春景，出水才看两腿泥。”狂悖者，难长久！http://t.cn/A6AVnQjC ,,无,无,无,2020-05-02 23:45,微博 weibo.com,21373,3997,2124
J07h2AutC,【#比尔盖茨称美低收入者得不到病毒检测#】美国微软公司创始人比尔·盖茨日前接受访问时表示，#比尔盖茨称亚洲病毒检测及追踪能力远高于美国#。比尔·盖茨称，美国的有钱人可以检测多次，低收入人群可能得不到检测。美国的检测系统没有区分优先级，无法提供准确的情况，检测数据也无法进行比较。http://t.cn/A6AIvrOe ,,无,无,无,2020-05-02 23:35,微博 weibo.com,75617,2735,4843
J06ZzoAwV,【#消防员没赶上出警真相获网友点赞#】5月2日，@太原消防 发布的一段视频获大量网友点赞。视频中，一名放假外出的消防员刚走到门口正巧碰上出警，他立即转身跑回去换装，结果却没赶上消防车。原来是队长为了让他休息，故意没拉他。网友：都是善良体贴的人啊。人民网的微博视频  ,,无,无,无,2020-05-02 22:52,微博 weibo.com,40635,2044,2246
J06GScZOA,【#湖北A级景区对援鄂医护终身免费#：可携3名家属】5月1日，湖北省人民政府发布《支持文化旅游产业恢复振兴若干措施》，明确对抗疫一线医护人员开展感恩回馈活动。援鄂医疗队员持“灵秀湖北”感恩卡可携带3名亲属终身不限次免门票游览省内A级旅游景区，全省医护人员在2021年底前不限次免门票游览省内A级旅游景区。http://t.cn/A6AchAsi [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/a716fd45ly1geeg0bjmzcj20l30u5aet.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1geeg0g31bdj20u00k0ae6.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1geeg0ro8u4j20u00nw778.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1geeg19eli9j20m80es41a.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1geeg1g2bv2j20u00y6gqc.jpg,http://ww3.sinaimg.cn/large/a716fd45ly1geeg1l55icj20u00mi0x1.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1geeg1oh66fj20si0imn27.jpg,http://ww1.sinaimg.cn/large/a716fd45ly1geeg1tvodij20u00k2434.jpg,http://ww2.sinaimg.cn/large/a716fd45ly1geeg1xeurbj20u00hstah.jpg",无,无,2020-05-02 22:06,微博 weibo.com,12365,1243,1262
J06rxzBeL,【夜读：所谓教养，是一场没有终点的修行】做一个有教养的人，也是“进一寸有一寸的欢喜”。要说这份“欢喜”在哪里，可能是对自己的性情又多了一份笃定，对自己的品格又多出一份欣赏和爱惜吧。做个真正有教养的人，就是一场没有终点的修行。 【夜读】所谓教养，是一场没有终点的修行  ,,无,无,无,2020-05-02 21:28,微博 weibo.com,5900,2445,953
J06ae5NZM,【#中美疫情对比视频引海外热议#】30日，新华社在推特发布一段视频，犀利概括了中美对疫情的态度，引发热议。中国：我们发现一种新病毒美国：所以呢？中国：这种病毒很危险美国：流感而已中国：你们的人民正在死去美国：你们没警告我们，你们说谎了！微丢的微博视频  ,,无,无,无,2020-05-02 20:46,微博 weibo.com,834957,121176,21402
J065M3tL0,【致敬！#疫情后首批为华南海鲜市场消杀的人#】疫情发生后，武汉市江汉水务局工作人员成为首批再次进入华南海鲜市场的人。为保证水体安全，他们对市场的排水管道进行消杀。几经尝试后，最终#武汉水务人员给下水道打点滴消毒#。最高峰时，他们每天消毒近200个点，拖着20桶、重约1吨的消毒液作业。http://t.cn/A6AVeKqj ,,无,无,无,2020-05-02 20:35,微博 weibo.com,25725,1443,1457
J05SLjzhw,【#11岁小孩花样跳绳看晕网友#：绳子还没打结脑子先打结了】近日，广州两个孩子花样跳绳的视频走红网络。视频中男生女生各拿一根跳绳，看得网友眼花缭乱。据了解，两个孩子都是11岁，1秒钟跳8.4次，曾是世界级跳绳冠军。网友：看了5遍还没看明白是怎么跳的。紫金山视频的秒拍视频  ,,无,无,无,2020-05-02 20:03,微博 weibo.com,10910,1820,1291
J05tfhGyN,【人民直播：#国家大剧院春天的拥抱音乐会#】#国家大剧院云赏乐系列#“春天在线”音乐会第四场，著名主持人周涛请你云赏乐！艺术家将带来塞缪尔•巴伯的《弦乐柔板》；莫扎特《降E大调嬉游曲》、《G大调小夜曲》等世界名曲。戳视频，一起听春天的声音！ 人民日报的微博视频 .  ,,无,无,无,2020-05-02 19:00,微博原生直播,5688,810,531
J05qegWj4,【无视民生疾苦！#香港中联办严厉谴责极端激进分子再启暴力揽炒#】香港中联办发言人2日表示，严厉谴责极端激进分子在“五一”假期再次发动违法聚集、滋扰商铺和掷汽油弹等违法活动。发言人指出，疫情当头，世界各地都在放下分歧携手抗疫，唯独香港一些极端激进分子丧心病狂，继续煽动市民参与暴力活动，甚至威胁在公共场所放置炸弹，如果任由他们胡作非为，香港不会有未来。发言人表示，有民调显示，七成以上的香港市民反对“揽炒”，更有超过八成的市民对未来“表示焦虑”，担心疫情平复后“黑暴”再起，惊魂未定可见一斑。恢复秩序、重回正轨是香港社会主流民意，我们坚定支持香港特区政府和警队依法严惩暴力犯罪分子，采取有效措施维护香港法治秩序和公众安全，维护国家安全。我们呼吁所有关爱香港、以香港为家的人们，勇敢地团结起来，坚决与暴力割席，向“揽炒”说不，决不允许几代港人打拼造就的繁荣毁于一旦。http://t.cn/A6AVrEwS 原图 ,,http://wx2.sinaimg.cn/large/a716fd45ly1geeaws718uj20rs167k9r.jpg,无,无,2020-05-02 18:52,微博 weibo.com,4583,473,948
J05fedGGn,【#应急管理部发布多地森林火险预警#】2日，@应急管理部 发布预警提示：据预测， 5月2—5日，华北大部、东北西北部、西北东南部等地森林火险等级较高，其中北京、河北、山西、辽宁、山东等地的部分地区森林火险为高度危险，请相关地区做好森林防火工作。  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/a716fd45ly1geea46bs76j21hc0u0dkd.jpg,http://ww4.sinaimg.cn/large/a716fd45ly1geea49f2oaj21400u046o.jpg",无,无,2020-05-02 18:25,微博 weibo.com,3489,373,458
J04UeDfCr,【#非洲累计确诊超4万例#，#非洲仅1国无确诊病例#】根据非洲疾控中心发布数据，截至东部非洲时间5月2日9:00（北京时间2日14:00），非洲地区53个国家报告新冠肺炎确诊病例累计超过4万例，达到40746例，其中有1689例死亡病例，13383例治愈病例。报告新冠肺炎确诊病例超过1000例的非洲国家有：南非（5951）、埃及（5895）、摩洛哥（4569）、阿尔及利亚（4154）、尼日利亚（2170）、加纳（2074）、喀麦隆（2069）、几内亚（1537）、科特迪瓦（1333）、吉布提（1097）、塞内加尔（1024）。科摩罗于4月30日宣布，该国首次确诊1例新冠病例，成为非洲第53个有确诊报告的国家。目前，非洲仅剩莱索托一国没有报告确诊病例。（人民日报记者吕强） 原图 ,,http://wx3.sinaimg.cn/large/a716fd45ly1gee8jxtrynj20ob0obk0y.jpg,无,无,2020-05-02 17:34,微博 weibo.com,13546,448,1151
J04GqzAfd,【#赵立坚晒骑共享单车逛北京视频#】2日，外交部发言人赵立坚在推特上传了自己在北京骑共享单车的小视频：“绿色出游 猜猜共享单车上是谁？”赵立坚还更新发布春天里普通中国人生活的点滴。最近，“两会”时间确定、北京隔离规定改变、火车票机票大卖，#赵立坚称这个五一中国已满血归来#。http://t.cn/A6AVOGcz ,,无,无,无,2020-05-02 17:00,微博 weibo.com,108967,3641,7164
