微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
J95nTn8T8,【#香港国安法全文# 公布：危害国安最高判无期】全文请戳链接香港国安法全文公布！危害国安最高判无期  ,,无,无,无,2020-06-30 23:19,微博 weibo.com,412,77,74
J95eqjSgE,【幸福！#87岁女儿给108岁妈妈扎小辫#】近日，一段#87岁女儿给108岁妈妈梳头#的视频让人感动。妈妈头发总是会散，女儿每天都帮妈妈梳理，不仅伺候她的生活起居，而且还会像哄小孩一样逗她开心。外孙女看到妈妈帮外婆梳头，也学着帮自己的妈妈梳。好幸福的一家人，希望两位老人身体健康~ http://t.cn/A6yvtBEs ,,无,无,无,2020-06-30 22:56,微博 weibo.com,721,60,56
J94vIe00i,【#中国联通宣布公用电话全面停止服务# ：IC卡、校园卡再见！】#联通公用电话全面停止服务# 日前，中国联通已经宣布全面停止公用电话服务，沈阳联通已经进入实施阶段。作为上世纪最常用的公用通信手段，公用电话曾在一定程度上解决了人们打电话难的问题，尤其在校园里，IC卡、校园卡一度成为学生的必备品。（NBD视频）http://t.cn/A6L7N6h1 ,,无,无,无,2020-06-30 21:06,微博 weibo.com,383,115,106
J94nL9q9m,【老干妈发布声明：从未与腾讯公司进行过任何商业合作】#老干妈回应拖欠腾讯上千万广告费# @凤凰网财经 6月30日讯，老干妈发布声明称：经核实，我司从未与腾讯公司或授权他人与腾讯公司就“老干妈”品牌签署《联合市场推广合作协议》，且我司从未与腾讯公司进行过任何商业合作。针对上述重大事件，我司及时采取法律手段维护企业合法权益，已向公安机关报案。公安机关于2020年6月20日决定对此案予以立案侦查。http://t.cn/A6yv9oJa 原图 ,,http://wx4.sinaimg.cn/large/9be419dbly1ggalsxroxvj20u016fgq3.jpg,无,无,2020-06-30 20:46,微博 weibo.com,1074,61,209
J94dncl4V,【唐驳虎：2020年中总结，看图获取各国抗疫成绩单】一年过半，各国都交出了什么样的抗疫成绩单？1.从4月底到6月底，全球新冠病亡人数翻2.25倍。以此为核心指标，测算各国抗疫的整体表现：增幅猛烈的主要是拉美国家，其次是一些不发达的人口大国，再就是一些中东国家。西欧、东欧、东亚国家的排位大都相对下降。2.美洲已经替代欧洲，成了全球疫情中心。南半球现在处于冬季，靠南端的智利、阿根廷气温较低，干冷天气有利于病毒传播。但根本原因还是这些国家大都没有像样的社交管控措施。3.与中国相比，俄罗斯的病亡数偏高，全国疫情程度相当于中国的20倍。白俄罗斯虽然医疗系统发达，但没有严密的公共卫生干预，病亡率也达到了湖北（不含武汉）的三倍。4.亚洲的印度虽然措施非常迅速，但因为贫民窟人口稠密，卫生条件差，隔离措施的作用有限。迫于经济压力解除封锁后，新增病例数全球第三。但由于人口总体年轻，病亡率较低。巴基斯坦、孟加拉国、伊朗类似。亚洲成了仅次于美洲的新增疫情第二大洲。5.目前非洲的新增疫情主要集中在一南一北的南非和埃及。非洲目前病亡数字、确诊人数相对庞大的人口基数都相对较低，一些偏远的国家实施了“封国”政策，控制了疫情。6.战疫久拖不决，各国不得不推进解封和复工，一些国家的疫情面临失控风险，中国之外的大流行将是无奈的悲哀现实。多重矛盾、次生风险的迸发，将更加深刻地冲击世界格局。详情http://t.cn/A6yvS0zA [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/9be419dbly1ggal0qt0stj20sk0bldgf.jpg,http://ww2.sinaimg.cn/large/9be419dbly1ggal0qt7whj20u00eomz6.jpg,http://ww2.sinaimg.cn/large/9be419dbly1ggal0qt8f5j20cc1e5taz.jpg",无,无,2020-06-30 20:21,微博 weibo.com,60,20,20
J948DfbAs,【男子#嫌天热偷别家空调装自己家# 】#沙雕新闻# 6月22日，上海的邓女士回家后发现自家的空调竟然不见了，随后报警。民警锁定犯罪嫌疑人胡某，发现其爬到2楼，将不锈钢的防盗窗撬开，爬入邓女士家，将空调拆除带走。胡某交代称，最近天气闷热，可他家里的空调坏了，为了省钱，他就打起了别人家空调的主意，拆了别家的空调，装在了自己的家里。目前，胡某因涉嫌盗窃罪被宝山警方依法刑事拘留。@看看新闻KNEWS http://t.cn/A6Ls9ZMp ,,无,无,无,2020-06-30 20:09,微博 weibo.com,425,32,76
J93KO4T6R,【#老干妈回应拖欠腾讯上千万广告费#：腾讯公司被骗了 ！】#老干妈欠了腾讯千万元广告费# 有关腾讯起诉老干妈并要求法院冻结后者千万资产等事宜，今天下午，老干妈公司相关负责人回应@第一财经 记者表示，并没有与腾讯有任何的合作，关于此事老干妈公司认为，腾讯公司被骗了！老干妈公司已经向警方报案，稍晚会发布声明。http://t.cn/A6yvM2eQ ,,无,无,无,2020-06-30 19:10,微博 weibo.com,1877,134,291
J93yOggER,#硕士毕业当家政意味着大学白读了吗# 【七日谈 | 硕士辞职做保姆：很多高端家庭请不到阿姨】32岁的刘双因一则#年薪30万女硕士辞职做保姆#的新闻被大众热议，“研究生毕业，法语专业，曾在国企工作，外派到非洲两年做客户经理”，刘双的简历在家政应聘队伍中格外显眼。刘双在接受《七日谈》采访时称，回国后先后从事过互联网销售以及早教工作，并表示应聘家政得到了老公的支持。“对生活品质有一定的追求，需求是更高层次的，这种人群是我能服务到的。”刘双对自己职业的定位是“管家式服务”，“可能家里的东西不需要每件事情都亲自去做，但是你可以去安排，让这个家感觉井井有条，就是能实现价值的一个工作。”看到一些网友用“低贱”形容她的这份选择，她称“别人怎么说我其实不是特别在乎，我的思想是独立的。”“如果说你读书只是为了拿到学历，那你的目标可能太局限了，你不断接受新的事物，你跟一般的人也就拉开了一段差距了。”#管家式保姆成市场新需求#  @熊茜茜念xixi不念qianqian 对话刘双 http://t.cn/A6LsrpXe ,,无,无,无,2020-06-30 18:41,深度报道 · 视频社区,245,15,37
J93m1aHuQ,【#全国人大常委会全票通过港区国安法#】全国人大常委会委员长栗战书30日下午主持十三届全国人大常委会第二十次会议闭幕会。在会议完成有关表决事项后，栗战书作了讲话。栗战书指出，本次常委会会议共审议8件法律和决定草案。会议最为重要的议程，是审议通过香港特别行政区维护国家安全法，并决定将这部法律列入香港基本法附件三，由香港特别行政区在当地公布实施。法律和决定获得全票通过，充分反映了包括香港同胞在内的全国人民的共同意志。(新华社) http://t.cn/A6yvqBjx ,,无,无,无,2020-06-30 18:09,微博 weibo.com,196,24,56
J91MHdQBx,【立法机关：#建议将冒名顶替上学入刑#】刑法修正案(十一)草案正提请十三届全国人大常委会第二十次会议审议。针对近日引发社会关注的山东“冒名顶替上学”问题，全国人大常委会组成人员在分组审议中普遍建议在刑法修改中写入相应罪名，并加大量刑标准，以立法保障公民“前途的安全”。http://t.cn/A6Ls3xK8 ,,无,无,无,2020-06-30 14:09,微博 weibo.com,1245,196,203
