J94dncl4V,【唐驳虎：2020年中总结，看图获取各国抗疫成绩单】一年过半，各国都交出了什么样的抗疫成绩单？1.从4月底到6月底，全球新冠病亡人数翻2.25倍。以此为核心指标，测算各国抗疫的整体表现：增幅猛烈的主要是拉美国家，其次是一些不发达的人口大国，再就是一些中东国家。西欧、东欧、东亚国家的排位大都相对下降。2.美洲已经替代欧洲，成了全球疫情中心。南半球现在处于冬季，靠南端的智利、阿根廷气温较低，干冷天气有利于病毒传播。但根本原因还是这些国家大都没有像样的社交管控措施。3.与中国相比，俄罗斯的病亡数偏高，全国疫情程度相当于中国的20倍。白俄罗斯虽然医疗系统发达，但没有严密的公共卫生干预，病亡率也达到了湖北（不含武汉）的三倍。4.亚洲的印度虽然措施非常迅速，但因为贫民窟人口稠密，卫生条件差，隔离措施的作用有限。迫于经济压力解除封锁后，新增病例数全球第三。但由于人口总体年轻，病亡率较低。巴基斯坦、孟加拉国、伊朗类似。亚洲成了仅次于美洲的新增疫情第二大洲。5.目前非洲的新增疫情主要集中在一南一北的南非和埃及。非洲目前病亡数字、确诊人数相对庞大的人口基数都相对较低，一些偏远的国家实施了“封国”政策，控制了疫情。6.战疫久拖不决，各国不得不推进解封和复工，一些国家的疫情面临失控风险，中国之外的大流行将是无奈的悲哀现实。多重矛盾、次生风险的迸发，将更加深刻地冲击世界格局。详情http://t.cn/A6yvS0zA [组图共3张] 原图 ,2020-06-30 20:21,60,20,20
J8QHipl4I,【唐驳虎：全球确诊千万死亡50万，大灾难何时到头？】全球感染数超千万，新冠仍在全球肆虐。那么疫情何时结束？第二波是否会更加猛烈？哪些国家会是下一个爆发点？凤凰网唐驳虎借鉴1918大流感的历史经验，进行了最为直观的解读→唐驳虎：全球确诊千万死亡50万，大灾难何时到头？  [组图共4张] 原图 ,2020-06-29 09:56,107,20,26
J8Q93z5h0,【#北京新增本地确诊病例7例# 丰台区5例大兴区2例】6月28日0时至24时，新增报告本地确诊病例7例、疑似病例4例、无症状感染者1例；无新增报告境外输入确诊病例、疑似病例、无症状感染者。6月11日0时至6月28日24时，累计报告本地确诊病例318例，在院318例。尚在观察的无症状感染者26例；无新增报告境外输入新冠肺炎确诊病例、疑似病例和无症状感染者。新增确诊病例中，丰台区5例、大兴区2例。全市有14个区无本地报告新增确诊病例，具体为平谷区自有疫情以来无报告病例、延庆区157天、怀柔区143天、顺义区141天、密云区138天、石景山区14天、门头沟区13天、房山区13天、东城区12天、通州区8天、朝阳区7天、西城区6天、海淀区3天、昌平区3天。#北京新增确诊7例# http://t.cn/A6LDKiaa 原图 ,2020-06-29 08:32,52,8,35
J8G6r7YbF,【#全球新冠确诊病例超1000万#】据worldometer网站最新统计数据，北京时间6月28日2时12分左右，全球新冠肺炎确诊病例累计超过1000万例，达10000051例，当日新增达101504例；累计死亡病例超过49万例，达498952例。从100万例到1000万例确诊，共历时86天。其中，从100万到200万历时12天，而从900到1000万则只用了6天，疫情仍在加速扩散的过程中。截至美国东部时间6月27日晚6时，疫情最严重的美国共报告新冠肺炎确诊2501244例，死亡125435例。过去24小时，美国新增确诊48200例，新增死亡544例。http://t.cn/A6LdcsbE 原图 ,2020-06-28 06:58,222,69,73
J8CKGiiIp,【唐驳虎：辐射全国的新发地，到了命运的转折点？】新发地在疫情中迎来了新的考验。频繁的人事任免背后，“新发地拆不拆”等多年争议的问题再次浮出水面？那么，新发地是如何崛起的？在当年抗击非典中起过何种作用？为什么说“拆迁新发地”是个太过于复杂的话题？凤凰网唐驳虎在分析中给出了回答。http://t.cn/A6Lritvf [组图共6张] 原图 ,2020-06-27 22:26,312,36,97
J8jW1mNLb,#披荆斩棘的中国队长# 【中国派8名精英组队出征马来西亚：“遇山一起爬，遇沟一起跨”】在疫情之初，马来西亚为我国伸出援手，极大地缓解了当时中国国内一线物资紧张的情况；之后，广东派出8名专家组成医疗队援助马来西亚，支援物资的寄语还特别引用了马来西亚谚语“遇山一起爬，遇沟一起跨” 。“总理一见面就提了三个问题，他们迫切想要了解中国的抗疫速度是如何实现的。” “马来西亚人民对我们也是非常友好，一看到我们制服，都会翘起大拇指，还有一些用中文说 “谢谢”。@凤凰卫视胡玲 对话援马“中国队长”李俊，解读疫情下的“友情之旅”。#中国医疗队援外抗疫实录# http://t.cn/A6LEPPtp ,2020-06-25 22:32,122,16,17
J8gHt5PIJ,【#美国疫情反弹迅猛#单日新增确诊数字连创新高】继美国疾病控制与预防中心（CDC）主任雷德菲尔德感叹新冠病毒“已经让这个国家屈服”一天后，美国又传来一个不好的消息。《华盛顿邮报》报道称，综合全美各州卫生部门数据，美国24日新增新冠病毒确诊病例达38115例，是自疫情暴发以来的最高值。而据NBC新闻报道：美国周三新增确诊病例数甚至高达45557例。http://t.cn/A6LRDZ5i 原图 ,2020-06-25 14:17,173,15,54
J88xGzjWJ,#披荆斩棘的中国队长#【中国医疗队万里驰援布基纳法索 ：3万字报告量身定制抗疫方案 】布基纳法索，一个对大多数人来非常陌生的国家，公共卫生体系薄弱，是撒哈拉以南疫情最严重的国家之一。布国总统卡布雷紧急向中方求援，4月15日，中国首批援非抗疫专家万里驰援，每天8小时马拉松式地传授中国经验，形成了宝贵的3万字防疫手册。面临随时感染的风险，这支来自天津的首支援非医疗队的“中国队长”说，“当时最大的压力就是把所有队员平安带回。”#中国医疗队援外抗疫实录# @凤凰卫视胡玲 http://t.cn/A6LHTO6w ,2020-06-24 17:31,102,6,19
J86wzlSoc,#旅行者徒步沙特被围攻#因为疫情，航海者@韩船长漂流记 ️3个月漂海上无法着陆；在沙特的徒步者又子起初像明星一样被对待，因疫情突遭当地人跟踪围攻；而单车旅行者@翟二喜 也遭遇当地警察阻拦；房车夫妇@阿拉丁和蓝潘潘在美洲 在墨西哥滞留4个月，墨西哥7.4级地震下他们境况如何？在摩洛哥的旅行者“鞋底”……疫情下的旅行者们从遭遇围攻到地震，他们的旅行计划还会继续吗？#微博纪录片联盟# @微沙特 http://t.cn/A6LHMkOG ,2020-06-24 12:23,347,48,62
J80y8wdkO,#中国援非12人专家组真实经历#【援非医疗队“中国队长”：非洲不能全盘复制中国抗疫经验】埃塞俄比亚被称为“世界屋脊”，人口9100万，是非洲第二大人口国，医疗条件极其有限。4月16日，中国医疗队12人从四川出发前往埃塞俄比亚。“他们就想知道中国是怎么做的，我们把每一个细节给他解释，他们非常信任”。“中国的模式，我觉得在埃塞完全地复制是不可能的。但是我们会根据我们中国的经验，结合当地的实际情况，给出一些适合于埃方的有实操性的建议。” 疫情会否在非洲大暴发？如何疏导当地数万华人的恐惧情绪？中国方案对埃塞有哪些实际性的参考？@凤凰卫视胡玲 对话援埃“中国队长”、四川大学华西医院副院长曾勇，探讨医疗队如何“因地制宜”地实现有效援助。#中国医疗队援外抗疫实录# http://t.cn/A6LjRmqL ,2020-06-23 21:11,157,17,34
